HGNC_SYMBOL	GENE
ABHD14A	ABHD14A
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16B	ABHD16B
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD18	ABHD18
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
EPHX4	ABHD7
ABHD8	ABHD8
EPHX3	ABHD9
ABI1	ABI-1
ABI2	ABI-2
ABI1	ABI1
ABI2	ABI2
ABI2	ABI2B
ABI3	ABI3
ABI3BP	ABI3BP
TNIP1	ABIN-1
TNIP2	ABIN-2
TNIP3	ABIN-3
MTTP	ABL
ABL1	ABL
ABL1	ABL1
ABL2	ABL2
ABI2	AblBP3
ABLIM1	abLIM
ABLIM1	ABLIM
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABL2	ABLL
ABO	ABO
SHBG	ABP
FLNB	ABP-278
FLNA	ABP-280
FLNC	ABP-280
DBNL	ABP1
AOC1	ABP1
SEC31A	ABP125
SEC31A	ABP130
MACF1	ABP620
FLNC	ABPL
ABR	ABR
ABRA	ABRA
ABRAXAS1	ABRA1
ABRACL	ABRACL
ABRAXAS1	ABRAXAS
ABRAXAS1	ABRAXAS1
ABRAXAS2	ABRAXAS2
ABRAXAS2	ABRO1
DDX41	ABS
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
ABTB2	ABTB2A
BTBD11	ABTB2B
ASAH1	AC
MORC2	AC004542.C22.1
TBC1D10A	AC004997.C22.2
LRIT2	AC022389.4
ENO4	AC023283.3
FAM24B	AC073585.2
FAM24A	AC073585.4
ADCY1	AC1
PROM1	AC133
ADCY2	AC2
ADCY3	AC3
C3orf33	AC3-33
ADCY4	AC4
ATP6AP1	Ac45
ADCY5	AC5
ADCY6	AC6
ADCY7	AC7
ADCY8	AC8
ADCY9	AC9
ACAA1	ACAA1
ACAA2	ACAA2
ACACA	ACAC
ACACA	ACACA
ACACB	ACACB
ACADM	ACAD1
ACAD10	ACAD10
ACAD11	ACAD11
IVD	ACAD2
ACADS	ACAD3
